confidence,asin,queue,value,currency,affinity_source,rule_label,would_pick,title,detail_url,event_time
"76","B0FLV5FP1S","encore","17.99","EUR","rule","drones","true","PULUZ Bastone invisibile per selfie da 150 cm, Insta 360, per DJI Osmo 360 per Insta360 One RS / X2 X3 X4 X5","https://www.amazon.it/dp/B0FLV5FP1S","2026-06-29T02:57:17.812Z"
"76","B0GYCY5GZG","encore","19.99","EUR","rule","drones","true","PULUZ 15 centimetri Mini Treppiede per DJI Osmo Pocket 4 3, 1/4 ""Vite Vlogging Piccolo Desktop Treppiede Maniglia Grip per Insta360 X2X3X4X5 per Gopro","https://www.amazon.it/dp/B0GYCY5GZG","2026-06-29T02:54:27.040Z"
"76","B0GWT2KS22","encore","22.99","EUR","rule","drones","true","STARTRC Protezione dell'elica per DJI Avata 360, copertura anticollisione per accessori DJI Avata 360 (arancione)","https://www.amazon.it/dp/B0GWT2KS22","2026-06-26T06:27:19.126Z"
"76","B0GHQTZ2XQ","encore","22.98","EUR","rule","drones","true","STARTRC PHOTO Osmo Pocket 4 Custodia in silicone, protezione obiettivo per DJI Pocket 4 Gimbal Accessori","https://www.amazon.it/dp/B0GHQTZ2XQ","2026-06-15T08:49:32.920Z"
"76","B0GX9V4MSD","encore","19.99","EUR","rule","drones","true","7JI Custodia Protettiva Impermeabile per DJI Action 6,IPX8 Custodia Subacquea, Resistente All’acqua 70m,Carcassa Impermeabile per Uso Subacqueo con Anello di Tenuta Ispessito e Lente in Vetro Ottico","https://www.amazon.it/dp/B0GX9V4MSD","2026-06-11T01:03:37.737Z"
"76","B0GRVYBMCZ","encore","19.99","EUR","rule","drones","true","AMAZEAR Video Luce LED per accessori DJI OSMO Pocket 4 –Pocket 4 accessorio, Illuminazione ausiliaria Auto-Follow Gimbal Selfie Vlog, CRI≥95, 3 temperature regolabili, 500mAh 1.6W USB-C, Nero","https://www.amazon.it/dp/B0GRVYBMCZ","2026-05-31T09:24:43.197Z"
"76","B0GY88D9P5","encore","20.99","EUR","rule","drones","true","Honbobo Osmo Pocket 4 Custodia protettiva, Gimbal Schermo Obiettivo Protezione Plastica Telaio Camera Protezione Accessori per DJI Osmo Pocket 4","https://www.amazon.it/dp/B0GY88D9P5","2026-05-29T06:38:34.504Z"
"76","B0GXVLKL7T","encore","19.9","EUR","rule","drones","true","SMALLRIG Kit di Custodia Protettiva per DJI Osmo Pocket 4, Guscio Rigido e Silicone 2 in 1, Guscio Protettivo Integrato per Gimbal, Foro per Cordino Senza Ostacoli, con Cinturino da Polso - 6005","https://www.amazon.it/dp/B0GXVLKL7T","2026-05-28T10:52:28.670Z"
"76","B0GDHVWB14","encore","21.99","EUR","rule","3D printing","true","Sostituzione di pellicole di rilascio FEP integrate Anycubic","https://www.amazon.it/dp/B0GDHVWB14","2026-05-28T07:51:56.164Z"
"76","B0GQRKWYND","encore","17.99","EUR","rule","drones","true","STARTRC PHOTO Pocket 4 - Copertura protettiva completa con scomparti per filtri, per DJI Osmo Pocket 4 accessori","https://www.amazon.it/dp/B0GQRKWYND","2026-05-23T04:04:11.612Z"
"76","B0GXVNC68B","encore","22.99","EUR","rule","drones","true","HUAREW 8Pcs Eliche per DJI Air 3/Air 3S, Basso Rumore & Stabile Eliche, Drone Eliche di Ricambio","https://www.amazon.it/dp/B0GXVNC68B","2026-05-22T02:30:16.523Z"
"76","B0GXJB15RQ","encore","22.99","EUR","rule","drones","true","HUAREW Drone Accessori per DJI Mini 4K/2/2 SE, 8 Drone Eliche di Ricambio, 4 Elica Protector, 1 Elica Supporto, 1 Estensioni pieghevoli, 1 Gimbal Protector","https://www.amazon.it/dp/B0GXJB15RQ","2026-05-22T02:29:02.040Z"
"75","B0GX8Y27D5","encore","109.9","EUR","rule","networking","true","Cudy AP6500 BE6500 WiFi 7 Punto di accesso per montaggio a soffitto, Dual Band, 6-Stream, 2.5G PoE, slot SFP+ 10G, MU-MIMO, OFDMA, Captive Portal, supporta 200 dispositivi","https://www.amazon.it/dp/B0GX8Y27D5","2026-07-06T05:48:09.727Z"
"75","B0GVFR9DFN","encore","14.99","EUR","rule","3D printing","true","WENXINWIN Tubo in PTFE 2,5 mm ID × 4 mm OD, stampante 3D PTFE Teflon Tube,per Bambu Lab X1/X1C/A1/A1mini/P1P/P1S/A1/A1 Mini, per Creality Ender3 V3/K1/K1 Max, per estrusore a trazione diretta","https://www.amazon.it/dp/B0GVFR9DFN","2026-07-01T08:47:54.301Z"
"75","B0GVHF45WS","encore","14.99","EUR","rule","drones","true","OTraki 2 Pezzi Protezione per Schermo e Obiettivo per DJI Osmo 360, Copriobiettivo Trasparente HD Pellicola in Vetro Temperato Antipolvere e Antigraffio, Accessori per Osmo 360 Panoramic","https://www.amazon.it/dp/B0GVHF45WS","2026-06-18T07:36:25.734Z"
"75","B0GXCHY8S4","encore","11.99","EUR","rule","drones","true","per DJI Mic Mini Adattatore USB C a Lighting, 2 Pezzi Adattatore Audio Lighting Maschio a Type C Femmina per iPhone 14/13/12/iPad, Ricevitore Microfono Wireless, Trasferimento Dati e Ricarica, OTG","https://www.amazon.it/dp/B0GXCHY8S4","2026-06-07T16:27:19.596Z"
"75","B0H25WNK71","encore","11.99","EUR","rule","drones","true","MoKo MoKoAdattatore da USB C a Lighting per DJI Mic Mini, Adattatore Lightning a USB C Cuffie per Apple Earpods/iPhone 14/13/12/11/Ricevitore Microfono Wireless, Supporto di Ricarica - 1 Pezzo, Nero (Nero, 1 Pezzo)","https://www.amazon.it/dp/B0H25WNK71","2026-05-27T08:48:28.406Z"
"75","B0H25VJX8G","encore","13.99","EUR","rule","drones","true","MoKo Adattatore da USB C a Lighting per DJI Mic Mini, Adattatore Lightning a USB C Cuffie per Apple Earpods/iPhone 14/13/12/11/Ricevitore Microfono Wireless, Supporto di Ricarica - 2 Pezzi, Nero (Nero, 2 Pezzi)","https://www.amazon.it/dp/B0H25VJX8G","2026-05-27T08:47:38.631Z"
